Price,Close,High,Low,Open,Volume
Ticker,SBER.ME,SBER.ME,SBER.ME,SBER.ME,SBER.ME
Date,,,,,
2020-07-20,183.76490783691406,183.89453356416513,180.68833416717925,181.7167422258625,37918256
2020-07-21,186.84149169921875,186.87606735287017,186.28839992152956,186.28839992152956,72918740
2020-07-22,187.5501251220703,188.0945663278813,184.55996440262672,186.65134284906273,47049070
2020-07-23,187.4464111328125,189.5032271139816,186.94518289613353,187.9649403809759,40233350
2020-07-24,186.3661651611328,187.87852685027124,182.29575908523017,185.63159739559973,49103750
2020-07-27,186.66864013671875,188.72545622465097,185.93405919481518,187.27358216647903,36772965
2020-07-28,186.72048950195312,187.87852326557893,186.02048421478747,187.3686444992172,23485855
2020-07-29,188.78594970703125,189.15756544263894,186.36616832596798,186.57358267980118,35279781
2020-07-30,187.78346252441406,189.15756115897616,186.09826214626887,189.01064760670172,48408890
2020-07-31,190.81683349609375,191.83659102702268,187.90444807985764,188.56125358211426,57670350
2020-08-03,196.08848571777344,197.3502332425028,191.27486148264717,192.08721785225754,58302730
2020-08-04,196.16627502441406,197.77369994377597,194.99095343620596,196.51195241463822,37617791
2020-08-05,195.51812744140625,198.05024672834242,193.85020166279924,197.16875220707473,53524691
2020-08-06,194.65391540527344,196.54651693869303,193.8847719952293,195.95886273180417,28597490
2020-08-07,196.01071166992188,196.6934423201678,193.97983391827577,194.446499715424,33938858
2020-08-10,194.72305297851562,197.64406255259442,194.0230344997946,197.00455805708617,40507591
2020-08-11,202.43177795410156,202.85523078879498,195.49219935206057,195.68231269030716,77508230
2020-08-12,207.6688690185547,208.61948845989497,201.455220844252,201.4638581638719,94561261
2020-08-13,209.0775146484375,210.9009912609888,206.17379287839105,209.31085414308316,75577255
2020-08-14,207.0639190673828,209.3281362755738,206.0873613309888,209.13800975721838,42639872
2020-08-17,204.99847412109375,209.44049596687654,202.65646819606204,208.100972964052,74785972
2020-08-18,204.08241271972656,207.26270032305405,203.6848850110282,205.59477448762937,35828137
2020-08-19,207.0725555419922,208.0577505936574,203.2527637386325,203.82314329137208,36025770
2020-08-20,199.89100646972656,206.11329188941605,199.05272494043567,206.0614415988203,113458640
2020-08-21,199.93421936035156,204.3848784579937,196.48602998290096,201.619419737772,136745810
2020-08-24,199.71817016601562,201.96509963483004,198.94037623751456,200.9280542502428,42734252
2020-08-25,196.50331115722656,201.3342231378926,196.08848247317434,200.75520626815998,56291950
2020-08-26,196.9095001220703,198.24900994578357,194.1872411291825,197.29839049626923,73162495
2020-08-27,196.05392456054688,198.7502451357415,195.1378676054742,196.92676854501764,48100522
2020-08-28,195.48353576660156,197.12553626471276,194.61069182334407,196.17490370334593,39445651
2020-08-31,195.13787841796875,198.5169298303623,194.44651041027151,196.1749238361406,60196302
2020-09-01,196.41688537597656,197.01319007137758,195.31933924366953,195.91564393907058,36309141
2020-09-02,192.31190490722656,197.68727132901427,190.8600440638258,197.52306995551723,74450471
2020-09-03,189.43411254882812,193.77243402503464,188.5439806720081,191.56870422653193,65989440
2020-09-04,190.5662078857422,191.19708824874164,187.31679555664826,188.39705389319178,66682007
2020-09-07,190.98968505859375,193.755143924355,190.5575816987327,191.42178841845484,57994911
2020-09-08,188.45755004882812,188.46618736807878,187.9130956408585,187.9130956408585,67825134
2020-09-09,188.39706420898438,189.15757033931212,187.360018786468,187.54149481236567,46246045
2020-09-10,191.84524536132812,191.879807826309,186.48715340372527,188.6044703160429,67648031
2020-09-11,190.9032440185547,192.84770898419444,189.90941164414875,191.38721082020362,43324491
2020-09-14,196.05392456054688,196.57245383427534,191.96623072715306,192.12178159722328,60313682
2020-09-15,199.8391571044922,200.45273646171287,196.51195611721988,196.5205934367767,59372911
2020-09-16,199.80458068847656,201.0144779459236,198.89716104207815,200.2539718519139,36857300
2020-09-17,200.0638427734375,200.27989443949951,197.5317235768292,197.9897520539409,47287411
2020-09-18,198.71568298339844,201.00582537467687,197.90332660709674,200.49594660631635,51131732
2020-09-21,194.78353881835938,198.82803284942628,193.14155143696402,198.6638314739373,66654820
2020-09-22,196.79714965820312,199.0095166877243,194.84404727455498,195.31071308772837,59275061
2020-09-23,197.142822265625,200.58237432282124,196.7020816090861,198.78482285837754,66048684
2020-09-24,197.38479614257812,199.71816467720635,195.0946537651063,196.71936650791477,78497552
2020-09-25,197.09962463378906,198.16259516219563,195.5267621401938,197.90333051979835,57320142
2020-09-28,197.5662841796875,198.37864054630595,196.47738854022384,197.72183504814785,62882180
2020-09-29,194.3255157470703,197.7996303136049,192.8045167284607,197.7996303136049,87184103
2020-09-30,197.6094970703125,199.4156858160262,192.94277321717414,194.0143942175423,73088584
2020-10-01,197.00454711914062,198.68109688696086,196.68478170239302,197.97245431487133,68807462
2020-10-02,196.26083374023438,199.00982050956074,194.40620679256554,213.6302958324483,110848861
2020-10-05,196.53384399414062,198.35081989134912,195.55475851976786,197.37172005182714,43619201
2020-10-06,199.65940856933594,200.51611731794029,196.14786229200303,196.75978890377817,81079194
2020-10-07,198.06837463378906,200.20543465547476,196.7880233282386,198.9250833499243,59950152
2020-10-08,195.7901153564453,199.0474703698886,195.12169060481787,198.83094447787508,47686141
2020-10-09,194.30264282226562,196.72213609541365,192.42918321813715,196.26082807370346,59673900
2020-10-12,194.04844665527344,196.27965586791515,192.58923488210598,193.9072372466277,50420130
2020-10-13,193.1258544921875,195.47944051961747,192.77752835697558,194.1520145525112,44366870
2020-10-14,195.28172302246094,195.81834750464392,192.7869277065621,193.05052817899107,44453470
2020-10-15,195.28172302246094,195.28172302246094,195.28172302246094,195.28172302246094,0
2020-10-16,195.28172302246094,195.28172302246094,195.28172302246094,195.28172302246094,0
2020-10-19,191.62896728515625,192.05260987508632,189.7460985608907,189.7460985608907,43927292
2020-10-20,196.86334228515625,197.47526888146143,190.67811156013835,190.82874450743296,76826739
2020-10-21,197.98365783691406,200.7608864529164,196.66564105353825,197.73887569842267,79905761
2020-10-22,197.01397705078125,199.1416135816477,195.66771841527674,197.3058194106403,43039020
2020-10-23,201.23159790039062,202.15419956676837,196.9009940240772,197.70121898985747,71282520
2020-10-26,199.46170043945312,201.8906028995416,198.83094111935574,200.90209391291333,52854501
2020-10-27,195.7241973876953,195.8183465696054,195.53591338902342,195.71478821556363,58471210
2020-10-28,194.3402862548828,194.82042696776855,190.45217215208862,194.82042696776855,65042365
2020-10-29,192.68338012695312,192.84342225379547,192.29738856890145,192.62689636043808,86699100
2020-10-30,189.3130340576172,192.84341294589953,189.00235899163053,191.69486186503315,77752490
2020-11-02,192.13734436035156,192.60806156307584,184.6623528826665,188.71052369912493,77510750
2020-11-03,198.17193603515625,198.5485040392824,191.86432859257766,193.6530481598997,82127718
2020-11-05,204.58309936523438,205.84461796549945,199.0474607074495,201.8435219180532,144659007
2020-11-06,204.34774780273438,205.50570808816994,200.52552645142677,203.16154563461615,90947300
2020-11-09,216.32278442382812,216.97237642564377,205.8916900716298,207.11555760322395,198220591
2020-11-10,222.91282653808594,223.68480960830257,213.0371749334889,213.70559964953375,218207120
2020-11-11,230.32191467285156,230.783222689207,223.1199474321762,223.1199474321762,220701445
2020-11-12,230.01126098632812,230.4819781893632,229.6252694322036,230.4819781893632,142784131
2020-11-13,226.93275451660156,229.8417832306695,224.64506156033625,227.83652345439535,96484312
2020-11-16,233.0332489013672,234.16296727449227,229.84178695558586,229.84178695558586,108561150
2020-11-17,231.02798461914062,235.19854627531694,229.1545394492383,233.4757196844726,89867760
2020-11-18,230.3878173828125,232.75081245141442,229.53110866886203,231.58344304046048,53641850
2020-11-19,225.04989624023438,229.22986727553496,223.44003709523116,228.29784204788584,92831772
2020-11-20,223.9484100341797,226.66915475852232,222.7151333216613,225.54884557229624,45036582
2020-11-23,224.7298126220703,229.5876032232,224.5509377871073,226.3678992893127,70858875
2020-11-24,231.70582580566406,233.33451763157268,225.53944208757477,227.49761296337877,77205241
2020-11-25,235.697509765625,236.57303683563433,235.6127841198464,236.57303683563433,125723729
2020-11-26,236.16822814941406,238.06050607381232,232.94852430715582,237.52389594934354,76701917
2020-11-27,236.34710693359375,237.48623450318442,233.503971048126,235.64103113974622,48252940
2020-11-30,235.3585968017578,236.30003118896482,231.5740265429439,235.09499632255174,102393063
2020-12-01,244.26455688476562,244.7258792688793,235.17031166562347,236.0646714561364,121374021
2020-12-02,248.78346252441406,249.4706912456719,243.64321003966788,244.82000303392883,88606990
2020-12-03,248.26565551757812,249.13178779971562,245.5731669464832,249.0093967318845,59043491
2020-12-04,253.62242126464844,254.9780890972052,249.01882199474346,249.13178952574023,90774902
2020-12-07,259.0356750488281,259.9582911238053,252.3985738765682,253.24585910893992,88166825
2020-12-08,259.4216613769531,260.4572449646549,255.61825835043848,258.4237432097945,75642130
2020-12-09,261.7375793457031,263.05561047886596,259.7135011487711,260.2124602273664,66212234
2020-12-10,264.4300842285156,265.6256955074126,259.0827440278458,260.3536574132427,70752290
2020-12-11,266.83074951171875,267.9322404192751,263.39451964092234,265.9552224005037,70946950
2020-12-14,263.0179443359375,270.888322041632,260.87147507708465,268.3182245456818,83212351
2020-12-15,260.96563720703125,267.1414448100858,259.9018116972763,262.217732365847,80026510
2020-12-16,261.90704345703125,264.3924151613729,259.9676910255925,261.718745097936,51910712
2020-12-17,261.83172607421875,268.4594321768219,260.34427239000564,263.4227524803446,89704120
2020-12-18,254.46969604492188,261.15388574774397,253.81070923102465,260.98443445819584,92358390
2020-12-21,244.84823608398438,251.68305874178955,244.49051516008348,250.60983850949344,109875641
2020-12-22,247.474853515625,251.75839722853155,241.99569847026194,244.34928444538724,98589455
2020-12-23,253.31175231933594,254.01782809540924,245.14950370659773,246.89116303363795,58450075
2020-12-24,253.10464477539062,256.8327169635877,251.48537645440837,256.0513390510994,40127029
2020-12-25,254.84629821777344,255.12871703972064,252.56801437630935,254.15904077730556,10551258
2020-12-28,258.45196533203125,259.0733154371454,253.93309204248644,255.03455411905122,36306331
2020-12-29,256.5785217285156,260.24068635224194,256.1642883226546,259.75115084090436,35803940
2020-12-30,254.8086395263672,258.17896205521953,254.300256903141,256.531451846331,28870050
2021-01-04,258.59320068359375,260.400767418967,256.5785459560315,258.58380587595695,41277720
2021-01-05,257.5011291503906,259.55347799658784,254.4508908595939,258.5838017047421,42179430
2021-01-06,257.8871154785156,259.77940779553177,255.71240433670488,259.77940779553177,36784175
2021-01-08,257.8871154785156,257.8871154785156,257.8871154785156,257.8871154785156,0
2021-01-11,271.65087890625,275.7932131632406,263.1120909131241,266.2941149846527,108435431
2021-01-12,271.4343566894531,278.7304728482521,269.90923765052577,273.8444263092907,74364160
2021-01-13,267.00018310546875,275.3318828768787,266.5200711219654,273.9668203029934,63602600
2021-01-14,267.5462341308594,270.0975132121228,262.7166712480047,267.36735930332424,71588430
2021-01-15,260.6549377441406,269.40087136505986,259.8358944129475,266.0022782411356,69089210
2021-01-18,263.413330078125,264.82548165909486,256.9645275092673,259.5722904192179,70963280
2021-01-19,260.44781494140625,266.23763062035283,260.41014952180103,264.5242418873281,52235521
2021-01-20,262.2459716796875,265.94580208242695,260.5607960109189,262.3024554468821,44482790
2021-01-21,258.9226989746094,265.05144604346754,256.8609553633427,264.30770483133773,80885120
2021-01-22,252.21026611328125,257.22812747664227,251.15586419843618,257.01158722508404,84074682
2021-01-25,248.10562133789062,257.604690661487,246.32629659218176,255.1287136772916,108492550
2021-01-26,252.2479248046875,253.78246740886948,247.23006357517355,247.31481795026409,70685535
2021-01-27,251.08056640625,257.764727673569,249.4989347764889,254.25319574288795,94762580
2021-01-28,249.89434814453125,251.52303999103157,245.87443362018828,248.06796311953477,76547289
2021-01-29,243.39845275878906,249.2447522167265,243.18191250838498,248.32213618100593,111466491
2021-02-01,246.91940307617188,248.12443790914884,243.57732258643864,244.77293388210984,58050820
2021-02-02,251.12762451171875,252.67159070788196,247.99266062212556,249.48011432279463,64514510
2021-02-03,246.56166076660156,246.6840518340358,246.2321529843472,246.27924194198212,72084900
2021-02-04,252.62449645996094,253.96134591231043,246.97589021621948,247.79493352471445,72935840
2021-02-05,255.3828887939453,256.6067707015593,253.12345207335352,256.0607226831525,68413800
2021-02-08,259.2616271972656,259.4404732972462,256.3714167609847,257.02100878035196,47749570
2021-02-09,252.22911071777344,260.05242808572484,251.79603021889903,259.8264642988304,87050990
2021-02-10,250.88284301757812,255.11929779993667,249.66841333244972,253.50945302712378,58721920
2021-02-11,249.61192321777344,251.2688281761248,248.30331564996658,249.9508258011986,35293270
2021-02-12,249.38595581054688,249.38595581054688,243.40784188825333,248.53867063399034,70644981
2021-02-15,255.03456115722656,255.08165011317917,251.42888021701555,252.7657009128508,52042010
2021-02-16,254.88394165039062,256.8232942265284,252.55859752051498,256.3525770239649,59511930
2021-02-17,253.1328887939453,258.9603700911048,252.86928830831943,255.11930160878703,71779380
2021-02-18,251.87136840820312,256.5032095854002,250.6192445623261,254.51679678415343,54806280
2021-02-19,255.92893981933594,256.1642984123774,255.6841576888778,255.90069793738286,54843080
2021-02-22,257.0115966796875,258.14132947589343,252.41739211288782,254.46971225337342,42745090
2021-02-24,255.0439910888672,256.76680336128436,253.64126305770742,256.18311864309163,60324150
2021-02-25,258.6590881347656,260.287779906146,255.6935756729104,257.5764443763482,70443890
2021-02-26,254.29083251953125,256.5314509930143,250.82636081563547,252.30441972196473,70674860
2021-03-01,258.0754089355469,258.34843294784906,257.81180846065763,257.81180846065763,33181130
2021-03-02,262.6601867675781,263.60162112875224,255.7123965852657,255.96660225017257,67137650
2021-03-03,262.7166748046875,263.3380249408061,262.5848889317335,262.7637350313931,59023980
2021-03-04,263.949951171875,265.3903446166858,258.7532437637981,262.18947348713925,72441880
2021-03-05,258.8567810058594,262.641365482798,256.78564267264227,259.8358807750018,78246030
2021-03-09,268.2617492675781,269.607993591885,261.30453511851357,262.47190460473234,69590280
2021-03-10,265.4656677246094,271.13309215522514,264.54305172089676,268.53472416170945,51351780
2021-03-11,268.98663330078125,269.15608459460157,265.76691506670795,267.2167320623092,43484310
2021-03-12,268.92071533203125,270.65295108195807,266.25646877276296,269.53264191119786,47719760
2021-03-15,274.2962951660156,275.52017704465015,268.57238702736277,269.29728112534224,64842840
2021-03-16,276.14154052734375,276.6687414841837,271.70736389100784,275.8967583937047,49973220
2021-03-17,264.91961669921875,276.0756193392955,263.2250463846509,275.22833418201157,100224860
2021-03-18,266.567138671875,269.05253922301574,264.19473437966565,267.4050290597405,64408850
2021-03-19,267.6497802734375,269.54207255348064,261.74699710818385,262.6601895975737,79765530
2021-03-22,272.272216796875,274.14569066574103,266.50121970918184,268.3087862791293,58953690
2021-03-23,266.3788757324219,271.3684665745441,265.9552187590935,270.71887453826616,63615960
2021-03-24,270.15399169921875,270.20108065466434,265.7292675142176,266.80248772817083,40318790
2021-03-25,268.8548278808594,270.2011009307707,267.2261647285648,269.72096018491357,32071050
2021-03-26,272.06512451171875,275.6049271333265,271.4343795377335,271.7262219102279,51572130
2021-03-29,275.8873291015625,276.8664288853987,272.3287083519717,272.7523653082336,40847890
2021-03-30,276.2639465332031,278.4009923584443,274.4281378922333,277.59134380432414,36333610
2021-03-31,274.22100830078125,277.17712607949005,273.26075556473,276.78171099388214,44193590
2021-04-01,272.4605407714844,277.459555276867,271.53792469077456,274.8988524880404,47627080
2021-04-02,274.7481994628906,275.2754004047009,272.20634393565456,273.77852322381494,17776741
2021-04-05,271.9992370605469,274.40930680460264,270.2575776900392,273.76910958329285,32630350
2021-04-06,265.5409851074219,272.47935205273217,265.12675167215275,272.07454215517765,72246510
2021-04-07,265.8516845703125,267.64040425532875,262.2271562402302,265.1832454339372,69822620
2021-04-08,267.2261657714844,267.25440765486275,266.9154763240237,267.10377470007853,49948799
2021-04-09,263.98760986328125,267.16966256713226,263.6863439756311,266.8683966794821,37735480
2021-04-12,265.2773742675781,268.62887830914934,261.7187535164583,261.90705188161047,54696590
2021-04-13,269.2125549316406,270.1822311494221,264.6842580696392,266.36001004008574,58138710
2021-04-14,271.1236877441406,274.5034338433878,269.9280763810476,273.01598011032485,56808831
2021-04-15,266.934326171875,268.4782636964242,264.42068360390135,265.0137918913052,85393090
